Date,Open,Low,High,Close,Volume
"Aug 30, 2017",2446.06,2443.77,2460.31,2457.59,"1,552,246,000"
"Aug 29, 2017",2431.94,2428.2,2449.19,2446.3,"1,503,811,000"
"Aug 28, 2017",2447.35,2439.03,2449.12,2444.24,"1,466,542,000"
"Aug 25, 2017",2444.72,2442.22,2453.96,2443.05,"1,500,901,000"
"Aug 24, 2017",2447.91,2436.19,2450.39,2438.97,"1,678,957,000"
"Aug 23, 2017",2444.88,2441.42,2448.91,2444.04,"1,583,454,000"
"Aug 22, 2017",2433.75,2433.67,2454.77,2452.51,"1,588,714,000"
"Aug 21, 2017",2425.5,2417.35,2430.58,2428.37,"1,635,774,000"
"Aug 18, 2017",2427.64,2420.69,2440.27,2425.55,"1,962,081,000"
"Aug 17, 2017",2462.95,2430.01,2465.02,2430.01,"1,929,351,000"
"Aug 16, 2017",2468.63,2463.86,2474.93,2468.11,"1,686,070,000"
"Aug 15, 2017",2468.66,2461.61,2468.9,2464.61,"1,689,634,000"
"Aug 14, 2017",2454.96,2454.96,2468.22,2465.84,"1,586,224,000"
"Aug 11, 2017",2441.04,2437.85,2448.09,2441.32,"1,659,263,000"
"Aug 10, 2017",2465.38,2437.75,2465.38,2438.21,"2,079,315,000"
"Aug 09, 2017",2465.35,2462.08,2474.41,2474.02,"1,821,056,000"
"Aug 08, 2017",2478.35,2470.32,2490.87,2474.92,"1,826,291,000"
"Aug 07, 2017",2477.14,2475.88,2480.95,2480.91,"1,639,568,000"
"Aug 04, 2017",2476.88,2472.08,2480,2476.83,"1,869,114,000"
"Aug 03, 2017",2476.03,2468.85,2476.03,2472.16,"2,039,487,000"
"Aug 02, 2017",2480.38,2466.48,2480.38,2477.57,"2,125,484,000"
"Aug 01, 2017",2477.1,2471.14,2478.51,2476.35,"2,076,284,000"
"Jul 31, 2017",2475.94,2468.53,2477.96,2470.3,"2,189,634,000"
"Jul 28, 2017",2469.12,2464.66,2473.53,2472.1,"2,043,354,000"
"Jul 27, 2017",2482.76,2459.93,2484.04,2475.42,"2,677,231,000"
"Jul 26, 2017",2479.97,2474.94,2481.69,2477.83,"2,261,843,000"
"Jul 25, 2017",2477.88,2474.91,2481.24,2477.13,"2,373,902,000"
"Jul 24, 2017",2472.04,2466.32,2473.1,2469.91,"1,943,951,000"
"Jul 21, 2017",2467.4,2465.06,2472.54,2472.54,"1,946,505,000"
"Jul 20, 2017",2475.56,2468.43,2477.62,2473.45,"1,993,809,000"
"Jul 19, 2017",2463.85,2463.85,2473.83,2473.83,"1,849,694,000"
"Jul 18, 2017",2455.88,2450.34,2460.92,2460.61,"1,750,952,000"
"Jul 17, 2017",2459.5,2457.16,2462.82,2459.14,"1,655,943,000"
"Jul 14, 2017",2449.16,2446.69,2463.54,2459.27,"1,667,639,000"
"Jul 13, 2017",2444.99,2441.69,2449.32,2447.83,"1,845,640,000"
"Jul 12, 2017",2435.75,2435.75,2445.76,2443.25,"1,856,436,000"
"Jul 11, 2017",2427.35,2412.79,2429.3,2425.53,"1,732,498,000"
"Jul 10, 2017",2424.51,2422.27,2432,2427.43,"1,767,991,000"
"Jul 07, 2017",2413.52,2413.52,2426.92,2425.18,"1,668,168,000"
"Jul 06, 2017",2423.44,2407.7,2424.28,2409.75,"2,021,301,000"
"Jul 05, 2017",2430.78,2422.05,2434.9,2432.54,"2,001,772,000"
"Jul 03, 2017",2431.39,2428.69,2439.17,2429.01,"1,196,619,000"
"Jun 30, 2017",2429.2,2421.65,2432.71,2423.41,"2,068,473,000"
"Jun 29, 2017",2442.38,2405.7,2442.73,2419.7,"2,437,153,000"
"Jun 28, 2017",2428.7,2428.02,2442.97,2440.69,"1,978,838,000"
"Jun 27, 2017",2436.34,2419.38,2440.15,2419.38,"2,029,472,000"
"Jun 26, 2017",2443.32,2437.03,2450.42,2439.07,"1,807,411,000"
"Jun 23, 2017",2434.65,2431.11,2441.4,2438.3,"2,954,291,000"
"Jun 22, 2017",2437.4,2433.27,2441.62,2434.5,"1,975,028,000"
"Jun 21, 2017",2439.31,2430.74,2442.23,2435.61,"2,194,973,000"
"Jun 20, 2017",2450.66,2436.6,2450.66,2437.03,"1,981,273,000"
"Jun 19, 2017",2442.55,2441.79,2453.82,2453.46,"1,881,643,000"
"Jun 16, 2017",2431.24,2422.88,2433.15,2433.15,"3,474,906,000"
"Jun 15, 2017",2424.14,2418.53,2433.95,2432.46,"2,056,413,000"
"Jun 14, 2017",2443.75,2428.34,2443.75,2437.92,"2,077,561,000"
"Jun 13, 2017",2434.15,2431.28,2441.49,2440.35,"2,078,680,000"
"Jun 12, 2017",2425.88,2419.97,2430.38,2429.39,"2,715,835,000"
"Jun 09, 2017",2436.39,2415.7,2446.2,2431.77,"2,624,858,000"
"Jun 08, 2017",2434.27,2427.94,2439.27,2433.79,"2,247,663,000"
"Jun 07, 2017",2432.03,2424.75,2435.28,2433.14,"2,087,406,000"
"Jun 06, 2017",2431.92,2428.12,2436.21,2429.33,"1,972,388,000"
"Jun 05, 2017",2437.83,2434.32,2439.55,2436.1,"1,742,363,000"
"Jun 02, 2017",2431.28,2427.71,2440.23,2439.07,"2,017,388,000"
"Jun 01, 2017",2415.65,2413.54,2430.06,2430.06,"2,156,065,000"
"May 31, 2017",2415.63,2403.59,2415.99,2411.8,"2,610,802,000"
"May 30, 2017",2411.67,2409.43,2415.26,2412.91,"1,776,699,000"
"May 26, 2017",2414.5,2412.2,2416.68,2415.82,"1,524,512,000"
"May 25, 2017",2409.54,2408.01,2418.71,2415.07,"2,010,590,000"
"May 24, 2017",2401.41,2397.99,2405.58,2404.39,"1,797,590,000"
"May 23, 2017",2397.04,2393.88,2400.85,2398.42,"1,770,956,000"
"May 22, 2017",2387.21,2386.92,2395.46,2394.02,"1,858,439,000"
"May 19, 2017",2371.37,2370.43,2389.06,2381.73,"2,249,728,000"
"May 18, 2017",2354.69,2352.72,2375.74,2365.72,"2,308,543,000"
"May 17, 2017",2382.95,2356.21,2384.87,2357.03,"2,717,639,000"
"May 16, 2017",2404.55,2396.05,2405.77,2400.67,"2,039,120,000"
"May 15, 2017",2393.98,2393.94,2404.05,2402.32,"1,896,371,000"
"May 12, 2017",2392.44,2387.19,2392.44,2390.9,"1,786,639,000"
"May 11, 2017",2394.84,2381.74,2395.72,2394.44,"2,024,700,000"
"May 10, 2017",2396.79,2392.79,2399.74,2399.63,"1,985,193,000"
"May 09, 2017",2401.58,2392.44,2403.87,2396.92,"1,855,963,000"
"May 08, 2017",2399.94,2393.92,2401.36,2399.38,"1,845,375,000"
"May 05, 2017",2392.37,2389.38,2399.29,2399.29,"1,823,790,000"
"May 04, 2017",2389.79,2380.35,2391.43,2389.52,"2,236,620,000"
"May 03, 2017",2386.5,2379.75,2389.82,2388.13,"2,270,224,000"
